iter	Passed	Remaining
0	140	140669
1	141	70805
2	142	47456
3	143	35770
4	144	28764
5	145	24085
6	146	20744
7	147	18237
8	147	16284
9	148	14721
10	149	13443
11	150	12379
12	151	11479
13	152	10710
14	152	10042
15	153	9455
16	154	8939
17	155	8478
18	156	8066
19	157	7695
20	157	7360
21	158	7056
22	159	6778
23	160	6524
24	161	6289
25	162	6073
26	162	5871
27	163	5685
28	164	5510
29	165	5349
30	166	5198
31	167	5055
32	167	4922
33	168	4797
34	169	4677
35	170	4565
36	171	4459
37	172	4358
38	172	4262
39	173	4171
40	174	4084
41	175	4001
42	176	3922
43	177	3846
44	177	3774
45	178	3706
46	179	3642
47	180	3580
48	181	3521
49	182	3463
50	183	3407
51	184	3354
52	185	3306
53	185	3258
54	186	3210
55	187	3164
56	188	3120
57	189	3078
58	190	3037
59	191	2996
60	192	2958
61	193	2922
62	194	2885
63	194	2851
64	196	2822
65	197	2789
66	198	2757
67	198	2720
68	199	2689
69	200	2659
70	201	2631
71	201	2602
72	202	2574
73	203	2547
74	204	2520
75	205	2494
76	206	2469
77	206	2445
78	207	2422
79	208	2398
80	209	2375
81	210	2353
82	211	2332
83	211	2310
84	212	2286
85	213	2266
86	213	2244
87	214	2225
88	215	2206
89	216	2188
90	217	2169
91	218	2152
92	218	2134
93	219	2117
94	220	2102
95	221	2087
96	222	2072
97	223	2056
98	224	2041
99	225	2025
100	225	2011
101	226	1992
102	227	1978
103	228	1964
104	228	1950
105	229	1937
106	230	1924
107	231	1911
108	232	1898
109	233	1886
110	233	1873
111	234	1861
112	235	1849
113	236	1838
114	237	1826
115	237	1813
116	238	1802
117	239	1791
118	240	1778
119	241	1768
120	242	1758
121	242	1748
122	243	1735
123	244	1725
124	245	1715
125	245	1705
126	246	1695
127	247	1684
128	248	1674
129	248	1665
130	249	1656
131	250	1647
132	251	1638
133	252	1629
134	253	1621
135	253	1612
136	254	1604
137	255	1594
138	256	1586
139	256	1578
140	257	1570
141	258	1562
142	259	1555
143	260	1547
144	261	1539
145	261	1532
146	262	1524
147	263	1518
148	264	1511
149	265	1504
150	266	1497
151	267	1489
152	267	1483
153	268	1476
154	269	1469
155	270	1462
156	271	1455
157	271	1449
158	272	1442
159	273	1436
160	274	1430
161	275	1424
162	276	1417
163	276	1411
164	277	1406
165	278	1400
166	279	1394
167	280	1388
168	281	1382
169	281	1376
170	282	1371
171	283	1365
172	284	1359
173	285	1354
174	286	1348
175	286	1343
176	287	1338
177	288	1332
178	289	1327
179	290	1321
180	290	1314
181	291	1310
182	292	1305
183	293	1301
184	294	1296
185	295	1292
186	296	1287
187	296	1282
188	297	1278
189	298	1273
190	299	1269
191	300	1264
192	301	1260
193	302	1256
194	303	1251
195	304	1247
196	305	1243
197	305	1239
198	306	1235
199	307	1230
200	308	1226
201	309	1222
202	310	1218
203	311	1215
204	312	1211
205	313	1207
206	314	1203
207	315	1199
208	315	1195
209	316	1191
210	317	1188
211	318	1184
212	319	1181
213	320	1177
214	321	1174
215	322	1171
216	323	1167
217	324	1164
218	325	1162
219	327	1160
220	328	1157
221	329	1154
222	330	1150
223	331	1148
224	332	1146
225	333	1142
226	334	1139
227	335	1135
228	336	1132
229	337	1128
230	337	1125
231	338	1121
232	339	1118
233	340	1114
234	341	1111
235	342	1107
236	342	1104
237	343	1100
238	344	1097
239	345	1093
240	346	1090
241	347	1087
242	348	1084
243	348	1080
244	349	1077
245	350	1074
246	351	1071
247	352	1068
248	353	1065
249	354	1062
250	354	1059
251	355	1056
252	356	1053
253	357	1050
254	358	1046
255	359	1043
256	360	1041
257	361	1038
258	361	1035
259	363	1033
260	364	1032
261	365	1029
262	366	1027
263	367	1024
264	368	1022
265	369	1019
266	370	1016
267	371	1014
268	372	1011
269	372	1008
270	374	1006
271	375	1003
272	375	1001
273	377	999
274	378	998
275	379	996
276	380	994
277	382	992
278	383	990
279	384	987
280	385	985
281	385	982
282	386	979
283	387	977
284	388	975
285	389	972
286	390	970
287	391	967
288	392	964
289	393	962
290	394	960
291	395	957
292	395	955
293	396	952
294	397	950
295	398	947
296	399	945
297	400	942
298	401	940
299	401	937
300	402	935
301	403	932
302	404	930
303	405	928
304	406	926
305	407	924
306	408	921
307	409	919
308	409	916
309	410	914
310	411	912
311	412	909
312	413	907
313	414	905
314	415	903
315	416	901
316	417	898
317	417	896
318	418	893
319	419	891
320	420	889
321	421	887
322	422	886
323	423	884
324	424	882
325	425	880
326	426	878
327	427	875
328	428	873
329	429	871
330	430	869
331	431	867
332	432	865
333	433	863
334	434	861
335	435	859
336	436	858
337	437	856
338	438	854
339	439	852
340	440	850
341	440	848
342	441	846
343	442	844
344	443	842
345	444	840
346	445	838
347	446	836
348	447	834
349	448	832
350	449	830
351	450	828
352	450	826
353	451	824
354	452	822
355	453	820
356	454	818
357	455	816
358	456	815
359	457	813
360	458	811
361	459	809
362	460	807
363	461	805
364	462	804
365	463	802
366	463	800
367	464	798
368	465	796
369	466	794
370	467	792
371	468	791
372	469	789
373	470	787
374	471	785
375	472	784
376	473	782
377	474	780
378	475	778
379	476	776
380	477	775
381	477	773
382	478	771
383	479	769
384	480	767
385	481	766
386	482	764
387	483	762
388	484	760
389	485	759
390	486	757
391	487	755
392	488	753
393	488	752
394	489	750
395	490	748
396	491	746
397	492	745
398	493	743
399	494	741
400	495	739
401	496	738
402	497	736
403	498	734
404	498	733
405	499	731
406	500	729
407	501	728
408	502	726
409	503	724
410	504	722
411	505	720
412	505	719
413	506	717
414	507	715
415	508	713
416	509	711
417	510	710
418	510	708
419	511	706
420	512	704
421	513	703
422	514	701
423	515	700
424	516	698
425	517	697
426	518	695
427	519	693
428	520	692
429	520	690
430	521	688
431	522	687
432	523	685
433	524	683
434	525	682
435	526	680
436	527	679
437	528	677
438	528	675
439	529	674
440	530	672
441	531	670
442	532	669
443	533	667
444	534	666
445	535	664
446	535	663
447	536	661
448	537	659
449	539	659
450	540	657
451	541	656
452	542	654
453	543	653
454	544	651
455	545	650
456	546	648
457	547	647
458	548	645
459	548	644
460	549	642
461	550	641
462	551	639
463	552	638
464	553	636
465	554	635
466	555	633
467	556	632
468	557	630
469	558	629
470	559	627
471	560	626
472	561	625
473	562	624
474	563	622
475	564	621
476	565	619
477	566	618
478	567	616
479	568	615
480	569	614
481	570	612
482	570	611
483	571	609
484	572	608
485	573	606
486	574	605
487	575	603
488	576	602
489	577	600
490	578	599
491	579	598
492	580	596
493	581	595
494	582	593
495	583	592
496	583	590
497	584	589
498	585	587
499	586	586
500	587	585
501	588	583
502	589	582
503	590	580
504	591	579
505	592	578
506	593	576
507	594	575
508	595	574
509	596	572
510	596	571
511	597	569
512	598	568
513	599	566
514	600	565
515	601	564
516	602	562
517	603	561
518	604	560
519	605	559
520	606	557
521	607	556
522	608	555
523	610	554
524	610	552
525	611	551
526	613	550
527	613	548
528	614	547
529	615	546
530	616	544
531	617	543
532	618	541
533	619	540
534	620	539
535	621	538
536	622	536
537	623	535
538	624	533
539	625	532
540	626	531
541	627	530
542	628	528
543	629	527
544	630	526
545	631	524
546	632	523
547	633	522
548	634	521
549	635	519
550	636	518
551	637	517
552	638	516
553	639	515
554	641	513
555	641	512
556	642	511
557	643	510
558	644	508
559	645	507
560	646	506
561	647	504
562	648	503
563	650	502
564	651	501
565	652	500
566	656	501
567	658	500
568	659	499
569	660	498
570	661	497
571	662	495
572	664	495
573	665	493
574	666	492
575	668	491
576	670	491
577	671	490
578	673	489
579	675	488
580	676	487
581	677	486
582	679	486
583	681	485
584	682	484
585	683	483
586	684	481
587	685	480
588	686	479
589	688	478
590	689	477
591	690	475
592	691	474
593	692	473
594	693	472
595	694	471
596	696	469
597	697	468
598	698	467
599	699	466
600	700	465
601	701	463
602	702	462
603	703	461
604	704	459
605	705	458
606	706	457
607	707	455
608	708	454
609	708	453
610	709	451
611	710	450
612	712	449
613	713	448
614	714	447
615	715	445
616	716	444
617	717	443
618	718	442
619	719	440
620	720	439
621	721	438
622	722	436
623	723	435
624	724	434
